"Title
All rights reserved. The book tags, ratings, classifications, and content-flagging methodology developed by RatedBooks.org constitute proprietary intellectual property. No person or organization may copy, scrape, extract, reproduce, adapt, aggregate, commercialize, or use this data for resale, subscription products, district-level services, or derivative works without the prior written permission of RatedBooks.org. Unauthorized commercial use is strictly prohibited and may result in legal action.",Author,Rating
And They Lived...,Steven Salvatore,4
All Together Dead,Charlaine Harris,4
A Spark of Light,Jodi Picoult,4
A Clockwork Orange,Anthony Burgess,4
A Beautiful Wedding,Jamie McGuire,4
Mercy,Jodi Picoult,4
The Beats: A Graphic History,Harvey Pekar,4
The Song of Achilles: A Novel,Madeline Miller,4
Yours Truly,Abby Jimenez,4
Your Fault,Mercedes Ron,4
You: A Novel,Caroline Kepnes,4
"Yes, Please",Amy Poehler,4
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,4
When It's Real,Erin Watt,4
When He Was Wicked,Julia Quinn,4
What Girls Are Made Of,Elena K. Arnold,4
Water for Elephants,Sara Gruen,4
Wait For You,Jennifer L. Armentrout as J. Lynn,4
Verity,Colleen Hoover,4
Two Twisted Crowns,Rachel Gillig,4
Twisted Palace,Erin Watt,4
Trust in Me,Jennifer Armentrout writing as J. Lynn,4
Tilt,Ellen Hopkins,4
Till Death,Jennifer L. Armentrout,4
This Boy,Lauren Myracle,4
They Poured Fire on Us from the Sky,Benjamin Ajak and Alephonsion Deng,4
The Wind-Up Bird Chronicle,Haruki Murakami,4
The War of Two Queens: Blood and Ash book 4,Jennifer L. Armentrout,4
The Thrashers ,Julie Sato,4
The Things We Leave Unfinished,Rebecca Yarros,4
The Sun and Her Flowers,Rupi Kaur,4
The Spanish Love Deception,Elena Armas,4
The Seven Year Slip,Ashley Poston,4
The Scammer,Tiffany D Jackson,4
The Perks of Being a Wallflower,Stephen Chbosky,4
The Pact: A Love Story,Jodi Picoult,4
The Nerdy and The Dirty,B.T. Gottfred,4
The Last Letter,Rebecca Yarros,4
The Kite Runner,Khaled Hosseini,4
The Infinite Moment of Us,Lauren Myracle,4
The Haters,Jesse Andrews,4
The Handmaid's Tale the graphic novel,Margaret Atwood adapted by Renee Nault,4
The Handmaid's Tale,Margaret Atwood,4
The Glass Castle,Jeanette Wells,4
The Gift,Danielle Steel,4
The Friend Zone,Abby Jimenez,4
The Edge of Us,Jamie McGuire,4
The Crown of Gilded Bones: A Blood and Ash Novel: Book 3,Jennifer L. Armentrout,4
The Certainty of Violet and Luke,Jessica Sorensen,4
The Carnival at Bray,Jessie Ann Foley,4
The Bluest Eye,Toni Morrison,4
The Almost Moon,Alice Sebold,4
That Kind of Girl,Natalie C Anderson,4
Summer Heat,A.C. Arthur,4
Strange Truth,Maggie Thrash,4
Storm and Fury: Harbinger Book 1,Jennifer L. Armentrout,4
Stardust,Neil Gaiman,4
Stalking Jack the Ripper,Kerri Maniscalco,4
Spanking Shakespeare,Jake Wizner,4
Something Beautiful,Jamie McGuire,4
Slaughterhouse-Five,Kurt Vonnegut,4
Skin and Bones,Sherry Shahan,4
Skin,Donna Jo Napoli,4
Saga: Volume 4,Brian K Vaughan,4
Roar,Cora Carmack,4
Red Hood,Elana Arnold,4
Perfect,Kiri Jorgensen,4
People Kill People,Ellen Hopkins,4
Our Fault,Ron Mercedes,4
Oryx and Crake,Margaret Atwood,4
Opposition,Jennifer Armentrout,4
One Golden Summer,Carley Fortune,4
One Dark Window,Rachel Gillig,4
Now I Rise,Kiersten White,4
Normal People,Sally Rooney,4
My Fault,Mercedes Ron,4
Milk and Honey,Rupi Kaur,4
Maybe Someday,Colleen Hoover,4
Maybe Now,Colleen Hoover,4
Maybe Not,Colleen Hoover,4
Lullaby,Chuck Palahniuk,4
Love Lies Beneath,Ellen Hopkins,4
Love Lettering,Kate Clayborn,4
Love and Other Words,Christina Lauren,4
Losing Hope,Colleen Hoover,4
Lonesome Dove ,Larry McMurtry,4
Living Dead Girl,Elizabeth Scott,4
Lighter Than My Shadow,Katie Green,4
Life is Funny,E.R. Frank,4
Lexicon,Max Barry,4
Layla,Colleen Hoover,4
Lady Chatterley's Lover,D.H. Lawrence,4
